sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
MGR,     MGR-CHIEF EXECUTIVES AND LEGISLATORS,50910,1341868,137934.4,CHIEF EXECUTIVES AND LEGISLATORS,Bachelor Degree
MGR,     MGR-GENERAL AND OPERATIONS MANAGERS,20897,994353,76547.7,GENERAL AND OPERATIONS MANAGERS,Some College
MGR,     MGR-ADVERTISING AND PROMOTIONS MANAGERS,473,51763,64778.2,ADVERTISING AND PROMOTIONS MANAGERS,Bachelor Degree
MGR,     MGR-MARKETING AND SALES MANAGERS,13076,1047106,86943.2,MARKETING AND SALES MANAGERS,Bachelor Degree
MGR,     MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,731,68119,72521.9,PUBLIC RELATIONS AND FUNDRAISING MANAGERS,Bachelor Degree
MGR,     MGR-ADMINISTRATIVE SERVICES MANAGERS,5440,169204,59186.2,ADMINISTRATIVE SERVICES MANAGERS,Some College
MGR,     MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,10963,630876,99972.5,COMPUTER AND INFORMATION SYSTEMS MANAGERS,Bachelor Degree
MGR,     MGR-FINANCIAL MANAGERS,23479,1306960,89112.2,FINANCIAL MANAGERS,Bachelor Degree
MGR,     MGR-COMPENSATION AND BENEFITS MANAGERS,0,22000,73378.4,COMPENSATION AND BENEFITS MANAGERS,Bachelor Degree
MGR,     MGR-HUMAN RESOURCES MANAGERS,7178,461304,70848.5,HUMAN RESOURCES MANAGERS,Bachelor Degree
MGR,     MGR-TRAINING AND DEVELOPMENT MANAGERS,1508,76709,64949.6,TRAINING AND DEVELOPMENT MANAGERS,Bachelor Degree
MGR,     MGR-INDUSTRIAL PRODUCTION MANAGERS,8491,268232,73507.3,INDUSTRIAL PRODUCTION MANAGERS,Some College
MGR,     MGR-PURCHASING MANAGERS,3971,226390,70377.7,PURCHASING MANAGERS,Bachelor Degree
MGR,"     MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",7640,268605,51876.2,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",Some College
MGR,"     MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",43804,691718,19357.6,"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",Some College
MGR,     MGR-CONSTRUCTION MANAGERS,24903,667549,59381.7,CONSTRUCTION MANAGERS,Some College
MGR,     MGR-EDUCATION ADMINISTRATORS,16105,1035819,59265.4,EDUCATION ADMINISTRATORS,Bachelor Degree
MGR,     MGR-ARCHITECTURAL AND ENGINEERING MANAGERS,4218,169089,130742.3,ARCHITECTURAL AND ENGINEERING MANAGERS,Bachelor Degree
MGR,     MGR-FOOD SERVICE MANAGERS,15936,1124576,34753,FOOD SERVICE MANAGERS,Some College
MGR,     MGR-GAMING MANAGERS,431,21211,45986.2,GAMING MANAGERS,Some College
MGR,     MGR-LODGING MANAGERS,5007,165573,41336.3,LODGING MANAGERS,Some College
MGR,     MGR-MEDICAL AND HEALTH SERVICES MANAGERS,11297,735042,73305.9,MEDICAL AND HEALTH SERVICES MANAGERS,Bachelor Degree
MGR,     MGR-NATURAL SCIENCES MANAGERS,0,23849,86778.4,NATURAL SCIENCES MANAGERS,Bachelor Degree
MGR,"     MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",20658,688505,49079,"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",Some College
MGR,     MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS,8952,416028,51221.4,SOCIAL AND COMMUNITY SERVICE MANAGERS,Bachelor Degree
MGR,     MGR-EMERGENCY MANAGEMENT DIRECTORS,851,10607,55224.3,EMERGENCY MANAGEMENT DIRECTORS,Bachelor Degree
MGR,"     MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",125542,4827218,75380.3,"MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",Bachelor Degree
BUS,"     BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",1021,49200,53023.6,"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",Some College
BUS,"     BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",714,12960,38954.5,"BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",Some College
BUS,"     BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",4427,248202,32958.5,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",Some College
BUS,"     BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",8487,313807,50216.8,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",Some College
BUS,"     BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",6500,327800,48778.7,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",Some College
BUS,     BUS-COMPLIANCE OFFICERS,6308,251108,65333.6,COMPLIANCE OFFICERS,Bachelor Degree
BUS,     BUS-COST ESTIMATORS,5125,147884,55117.9,COST ESTIMATORS,Some College
BUS,     BUS-HUMAN RESOURCES WORKERS,13810,864946,55374.5,HUMAN RESOURCES WORKERS,Bachelor Degree
BUS,"     BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",1300,65948,48994.7,"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",Bachelor Degree
BUS,     BUS-TRAINING AND DEVELOPMENT SPECIALISTS,5179,178825,50473,TRAINING AND DEVELOPMENT SPECIALISTS,Bachelor Degree
BUS,     BUS-LOGISTICIANS,4503,163554,49037.3,LOGISTICIANS,Some College
BUS,     BUS-MANAGEMENT ANALYSTS,23120,961995,68271.6,MANAGEMENT ANALYSTS,Bachelor Degree
