sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
MGR,MGR-CHIEF EXECUTIVES AND LEGISLATORS,34454,1358324,137934.4,CHIEF EXECUTIVES AND LEGISLATORS,Bachelor Degree
MGR,MGR-GENERAL AND OPERATIONS MANAGERS,23739,991511,76547.7,GENERAL AND OPERATIONS MANAGERS,Some College
MGR,MGR-ADVERTISING AND PROMOTIONS MANAGERS,991,51245,64778.2,ADVERTISING AND PROMOTIONS MANAGERS,Bachelor Degree
MGR,MGR-MARKETING AND SALES MANAGERS,16068,1044114,86943.2,MARKETING AND SALES MANAGERS,Bachelor Degree
MGR,MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,1255,67595,72521.9,PUBLIC RELATIONS AND FUNDRAISING MANAGERS,Bachelor Degree
MGR,MGR-ADMINISTRATIVE SERVICES MANAGERS,5184,169460,59186.2,ADMINISTRATIVE SERVICES MANAGERS,Some College
MGR,MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,10322,631517,99972.5,COMPUTER AND INFORMATION SYSTEMS MANAGERS,Bachelor Degree
MGR,MGR-FINANCIAL MANAGERS,24393,1306046,89112.2,FINANCIAL MANAGERS,Bachelor Degree
MGR,MGR-COMPENSATION AND BENEFITS MANAGERS,566,21434,73378.4,COMPENSATION AND BENEFITS MANAGERS,Bachelor Degree
MGR,MGR-HUMAN RESOURCES MANAGERS,13303,455179,70848.5,HUMAN RESOURCES MANAGERS,Bachelor Degree
MGR,MGR-TRAINING AND DEVELOPMENT MANAGERS,2680,75537,64949.6,TRAINING AND DEVELOPMENT MANAGERS,Bachelor Degree
MGR,MGR-INDUSTRIAL PRODUCTION MANAGERS,7849,268874,73507.3,INDUSTRIAL PRODUCTION MANAGERS,Some College
MGR,MGR-PURCHASING MANAGERS,7528,222833,70377.7,PURCHASING MANAGERS,Bachelor Degree
MGR,"MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",8903,267342,51876.2,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",Some College
