sector,fulltitle,yes,no,average_wage,jobtype,exp_ed
MGR, MGR-CHIEF EXECUTIVES AND LEGISLATORS,17904,1374874,137934.4,CHIEF EXECUTIVES AND LEGISLATORS,Bachelor Degree
MGR, MGR-GENERAL AND OPERATIONS MANAGERS,8671,1006579,76547.7,GENERAL AND OPERATIONS MANAGERS,Some College
MGR, MGR-ADVERTISING AND PROMOTIONS MANAGERS,353,51883,64778.2,ADVERTISING AND PROMOTIONS MANAGERS,Bachelor Degree
MGR, MGR-MARKETING AND SALES MANAGERS,8175,1052007,86943.2,MARKETING AND SALES MANAGERS,Bachelor Degree
MGR, MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS,608,68242,72521.9,PUBLIC RELATIONS AND FUNDRAISING MANAGERS,Bachelor Degree
MGR, MGR-ADMINISTRATIVE SERVICES MANAGERS,3029,171615,59186.2,ADMINISTRATIVE SERVICES MANAGERS,Some College
MGR, MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS,4214,637625,99972.5,COMPUTER AND INFORMATION SYSTEMS MANAGERS,Bachelor Degree
MGR, MGR-FINANCIAL MANAGERS,13899,1316540,89112.2,FINANCIAL MANAGERS,Bachelor Degree
MGR, MGR-COMPENSATION AND BENEFITS MANAGERS,64,21936,73378.4,COMPENSATION AND BENEFITS MANAGERS,Bachelor Degree
MGR, MGR-HUMAN RESOURCES MANAGERS,6242,462240,70848.5,HUMAN RESOURCES MANAGERS,Bachelor Degree
MGR, MGR-TRAINING AND DEVELOPMENT MANAGERS,2204,76013,64949.6,TRAINING AND DEVELOPMENT MANAGERS,Bachelor Degree
MGR, MGR-INDUSTRIAL PRODUCTION MANAGERS,3612,273111,73507.3,INDUSTRIAL PRODUCTION MANAGERS,Some College
MGR, MGR-PURCHASING MANAGERS,3097,227264,70377.7,PURCHASING MANAGERS,Bachelor Degree
MGR," MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",3606,272639,51876.2,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",Some College
MGR," MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",11720,723802,19357.6,"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",Some College
MGR, MGR-CONSTRUCTION MANAGERS,9309,683143,59381.7,CONSTRUCTION MANAGERS,Some College
MGR, MGR-EDUCATION ADMINISTRATORS,12382,1039542,59265.4,EDUCATION ADMINISTRATORS,Bachelor Degree
MGR, MGR-ARCHITECTURAL AND ENGINEERING MANAGERS,1263,172044,130742.3,ARCHITECTURAL AND ENGINEERING MANAGERS,Bachelor Degree
MGR, MGR-FOOD SERVICE MANAGERS,20439,1120073,34753,FOOD SERVICE MANAGERS,Some College
MGR, MGR-GAMING MANAGERS,501,21141,45986.2,GAMING MANAGERS,Some College
MGR, MGR-LODGING MANAGERS,1943,168637,41336.3,LODGING MANAGERS,Some College
MGR, MGR-MEDICAL AND HEALTH SERVICES MANAGERS,7967,738372,73305.9,MEDICAL AND HEALTH SERVICES MANAGERS,Bachelor Degree
MGR, MGR-NATURAL SCIENCES MANAGERS,70,23779,86778.4,NATURAL SCIENCES MANAGERS,Bachelor Degree
MGR," MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",10915,698248,49079,"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",Some College
MGR, MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS,5949,419031,51221.4,SOCIAL AND COMMUNITY SERVICE MANAGERS,Bachelor Degree
MGR, MGR-EMERGENCY MANAGEMENT DIRECTORS,574,10884,55224.3,EMERGENCY MANAGEMENT DIRECTORS,Bachelor Degree
MGR," MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",61389,4891371,75380.3,"MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS",Bachelor Degree
BUS," BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",470,49751,53023.6,"AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES",Some College
BUS," BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",188,13486,38954.5,"BUYERS AND PURCHASING AGENTS, FARM PRODUCTS",Some College
BUS," BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",2854,249775,32958.5,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",Some College
BUS," BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",3679,318615,50216.8,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",Some College
BUS," BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",5362,328938,48778.7,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS",Some College
BUS, BUS-COMPLIANCE OFFICERS,2571,254845,65333.6,COMPLIANCE OFFICERS,Bachelor Degree
BUS, BUS-COST ESTIMATORS,1869,151140,55117.9,COST ESTIMATORS,Some College
BUS, BUS-HUMAN RESOURCES WORKERS,7763,870993,55374.5,HUMAN RESOURCES WORKERS,Bachelor Degree
BUS," BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",693,66555,48994.7,"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS",Bachelor Degree
BUS, BUS-TRAINING AND DEVELOPMENT SPECIALISTS,3832,180172,50473,TRAINING AND DEVELOPMENT SPECIALISTS,Bachelor Degree
BUS, BUS-LOGISTICIANS,2642,165415,49037.3,LOGISTICIANS,Some College
BUS, BUS-MANAGEMENT ANALYSTS,9415,975700,68271.6,MANAGEMENT ANALYSTS,Bachelor Degree
BUS," BUS-MEETING, CONVENTION, AND EVENT PLANNERS",2288,162896,33410.2,"MEETING, CONVENTION, AND EVENT PLANNERS",Some College
BUS, BUS-FUNDRAISERS,1163,116709,46109.7,FUNDRAISERS,Bachelor Degree
BUS, BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,2856,336478,65364.7,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,Bachelor Degree
BUS," BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",2898,338260,62108.6,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",Bachelor Degree
FIN, FIN-ACCOUNTANTS AND AUDITORS,25488,2210672,59154.5,ACCOUNTANTS AND AUDITORS,Bachelor Degree
FIN, FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE,1402,105697,38474.7,APPRAISERS AND ASSESSORS OF REAL ESTATE,Some College
FIN, FIN-BUDGET ANALYSTS,423,55125,70053.9,BUDGET ANALYSTS,Bachelor Degree
FIN, FIN-CREDIT ANALYSTS,285,31001,63825.5,CREDIT ANALYSTS,Bachelor Degree
FIN, FIN-FINANCIAL ANALYSTS,1259,253461,95274.7,FINANCIAL ANALYSTS,Bachelor Degree
FIN, FIN-PERSONAL FINANCIAL ADVISORS,3101,402432,103827.3,PERSONAL FINANCIAL ADVISORS,Bachelor Degree
FIN, FIN-INSURANCE UNDERWRITERS,1767,122940,62275.8,INSURANCE UNDERWRITERS,Bachelor Degree
FIN, FIN-FINANCIAL EXAMINERS,224,14142,86885,FINANCIAL EXAMINERS,Bachelor Degree
FIN, FIN-CREDIT COUNSELORS AND LOAN OFFICERS,2227,344686,64676.6,CREDIT COUNSELORS AND LOAN OFFICERS,Some College
FIN," FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",1883,73618,45747.2,"TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS",Some College
FIN, FIN-TAX PREPARERS,3167,159302,28256.1,TAX PREPARERS,Some College
FIN," FIN-FINANCIAL SPECIALISTS, ALL OTHER",856,60833,79486,"FINANCIAL SPECIALISTS, ALL OTHER",Bachelor Degree
CMM, CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS,73,22898,73330.2,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Bachelor Degree
CMM, CMM-COMPUTER SYSTEMS ANALYSTS,6080,546790,71287.3,COMPUTER SYSTEMS ANALYSTS,Bachelor Degree
CMM, CMM-INFORMATION SECURITY ANALYSTS,794,70833,84797.7,INFORMATION SECURITY ANALYSTS,Bachelor Degree
CMM, CMM-COMPUTER PROGRAMMERS,5399,503435,70577.8,COMPUTER PROGRAMMERS,Bachelor Degree
CMM," CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",7105,1294936,90582.4,"SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",Bachelor Degree
CMM, CMM-WEB DEVELOPERS,1123,220683,45119.8,WEB DEVELOPERS,Bachelor Degree
CMM, CMM-COMPUTER SUPPORT SPECIALISTS,7442,729072,52652.6,COMPUTER SUPPORT SPECIALISTS,Some College
CMM, CMM-DATABASE ADMINISTRATORS,1960,127437,70205.2,DATABASE ADMINISTRATORS,Bachelor Degree
CMM, CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,3232,228805,63270,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,Bachelor Degree
CMM, CMM-COMPUTER NETWORK ARCHITECTS,603,115664,90643.2,COMPUTER NETWORK ARCHITECTS,Bachelor Degree
CMM," CMM-COMPUTER OCCUPATIONS, ALL OTHER",8148,646866,64037.4,"COMPUTER OCCUPATIONS, ALL OTHER",Bachelor Degree
CMM, CMM-ACTUARIES,0,30414,114220.2,ACTUARIES,Bachelor Degree
CMM, CMM-OPERATIONS RESEARCH ANALYSTS,1338,157862,72482.1,OPERATIONS RESEARCH ANALYSTS,Bachelor Degree
CMM," CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",20,59085,80275.5,"MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS",Bachelor Degree
ENG," ENG-ARCHITECTS, EXCEPT NAVAL",1280,197381,70724.6,"ARCHITECTS, EXCEPT NAVAL",Bachelor Degree
ENG," ENG-SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",738,37958,45992.9,"SURVEYORS, CARTOGRAPHERS, AND PHOTOGRAMMETRISTS",Bachelor Degree
ENG, ENG-AEROSPACE ENGINEERS,1088,134314,91383.4,AEROSPACE ENGINEERS,Bachelor Degree
ENG, ENG-BIOMEDICAL AND AGRICULTURAL ENGINEERS,244,17299,75127.4,BIOMEDICAL AND AGRICULTURAL ENGINEERS,Bachelor Degree
ENG, ENG-CHEMICAL ENGINEERS,561,74027,99119.3,CHEMICAL ENGINEERS,Bachelor Degree
ENG, ENG-CIVIL ENGINEERS,3252,355814,75839.1,CIVIL ENGINEERS,Bachelor Degree
ENG, ENG-COMPUTER HARDWARE ENGINEERS,522,58075,88170.8,COMPUTER HARDWARE ENGINEERS,Bachelor Degree
ENG, ENG-ELECTRICAL AND ELECTRONICS ENGINEERS,2114,239822,86267.1,ELECTRICAL AND ELECTRONICS ENGINEERS,Bachelor Degree
ENG, ENG-ENVIRONMENTAL ENGINEERS,229,34259,70260.9,ENVIRONMENTAL ENGINEERS,Bachelor Degree
ENG," ENG-INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",3111,222346,69411.2,"INDUSTRIAL ENGINEERS, INCLUDING HEALTH AND SAFETY",Bachelor Degree
ENG, ENG-MARINE ENGINEERS AND NAVAL ARCHITECTS,193,14378,74885,MARINE ENGINEERS AND NAVAL ARCHITECTS,Bachelor Degree
ENG, ENG-MATERIALS ENGINEERS,40,47828,75485.1,MATERIALS ENGINEERS,Bachelor Degree
ENG, ENG-MECHANICAL ENGINEERS,1973,273713,77139.2,MECHANICAL ENGINEERS,Bachelor Degree
ENG," ENG-PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",188,55363,123686,"PETROLEUM, MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING SAFETY ENGINEERS",Bachelor Degree
ENG," ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",5338,604033,85450.8,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",Bachelor Degree
ENG, ENG-DRAFTERS,2291,185923,41117.1,DRAFTERS,Some College
ENG," ENG-ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",7343,430034,46954.4,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS",Some College
ENG, ENG-SURVEYING AND MAPPING TECHNICIANS,1088,81511,38761.7,SURVEYING AND MAPPING TECHNICIANS,Some College
SCI, SCI-AGRICULTURAL AND FOOD SCIENTISTS,22,24936,51445.8,AGRICULTURAL AND FOOD SCIENTISTS,Bachelor Degree
SCI, SCI-BIOLOGICAL SCIENTISTS,616,83015,56433,BIOLOGICAL SCIENTISTS,Bachelor Degree
SCI, SCI-CONSERVATION SCIENTISTS AND FORESTERS,551,22802,50453.5,CONSERVATION SCIENTISTS AND FORESTERS,Bachelor Degree
SCI," SCI-MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER",779,172442,79850.2,"MEDICAL SCIENTISTS, AND LIFE SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI, SCI-ASTRONOMERS AND PHYSICISTS,148,11583,85080.4,ASTRONOMERS AND PHYSICISTS,"Master, PhD, or Professional Degree"
SCI, SCI-ATMOSPHERIC AND SPACE SCIENTISTS,0,13702,66926.5,ATMOSPHERIC AND SPACE SCIENTISTS,Bachelor Degree
SCI, SCI-CHEMISTS AND MATERIALS SCIENTISTS,298,97203,70466.6,CHEMISTS AND MATERIALS SCIENTISTS,Bachelor Degree
SCI, SCI-ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,521,82861,83476.8,ENVIRONMENTAL SCIENTISTS AND GEOSCIENTISTS,Bachelor Degree
SCI," SCI-PHYSICAL SCIENTISTS, ALL OTHER",923,247025,71301.9,"PHYSICAL SCIENTISTS, ALL OTHER","Master, PhD, or Professional Degree"
SCI, SCI-ECONOMISTS,122,24846,114670.5,ECONOMISTS,"Master, PhD, or Professional Degree"
SCI, SCI-PSYCHOLOGISTS,2498,221305,47810.6,PSYCHOLOGISTS,"Master, PhD, or Professional Degree"
SCI, SCI-URBAN AND REGIONAL PLANNERS,387,26087,58818.5,URBAN AND REGIONAL PLANNERS,Bachelor Degree
SCI," SCI-MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",448,47064,43341.5,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SURVEY RESEARCHERS AND SOCIOLOGISTS",Bachelor Degree
SCI, SCI-AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,467,44626,40906.4,AGRICULTURAL AND FOOD SCIENCE TECHNICIANS,Some College
SCI, SCI-BIOLOGICAL TECHNICIANS,208,26795,45529.1,BIOLOGICAL TECHNICIANS,Some College
SCI, SCI-CHEMICAL TECHNICIANS,996,84994,46126.6,CHEMICAL TECHNICIANS,Some College
SCI," SCI-GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",719,27334,61703.9,"GEOLOGICAL AND PETROLEUM TECHNICIANS, AND NUCLEAR TECHNICIANS",Some College
SCI," SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",1839,297727,28096.2,"MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, INCLUDING SOCIAL SCIENCE RESEARCH ASSISTANTS",Some College
CMS, CMS-COUNSELORS,12128,962269,33950.1,COUNSELORS,Bachelor Degree
CMS, CMS-SOCIAL WORKERS,15912,962221,37545.2,SOCIAL WORKERS,Bachelor Degree
CMS, CMS-PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,823,99438,44453.2,PROBATION OFFICERS AND CORRECTIONAL TREATMENT SPECIALISTS,Bachelor Degree
