Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,33.6, 0.30,19101500.0,189453.0
Alabama,27.7, 1.56,432200.0,4227.0
Alaska,46.3, 4.47,48100.0,428.0
Arizona,32.3, 1.78,360800.0,3654.0
Arkansas,30.3, 2.06,261800.0,2727.0
California,31.9, 0.79,1819900.0,17639.0
Colorado,42.0, 2.15,277800.0,2679.0
Connecticut,38.2, 2.61,181700.0,1706.0
Delaware,36.3, 4.37,63600.0,580.0
District of Columbia,28.9, 5.42,36700.0,331.0
Florida,31.0, 1.00,1116900.0,11247.0
Georgia,30.6, 1.35,615400.0,6311.0
Hawaii,42.3, 4.42,65700.0,672.0
Idaho,37.0, 3.47,101700.0,1060.0
Illinois,35.1, 1.37,636000.0,6606.0
Indiana,32.4, 1.62,439800.0,4509.0
Iowa,43.0, 2.33,174000.0,1649.0
Kansas,42.8, 2.67,180700.0,1765.0
Kentucky,25.7, 1.53,429400.0,4230.0
Louisiana,33.9, 1.75,384200.0,3897.0
Maine,28.9, 2.99,104300.0,999.0
Maryland,40.4, 2.06,297900.0,2919.0
Massachusetts,32.8, 1.80,358700.0,3383.0
Michigan,28.6, 1.23,705000.0,6985.0
Minnesota,43.9, 2.20,267300.0,2636.0
Mississippi,28.6, 1.99,269800.0,2708.0
Missouri,33.3, 1.63,440300.0,4447.0
Montana,44.6, 4.66,59700.0,567.0
Nebraska,43.4, 3.41,110800.0,1067.0
Nevada,38.0, 2.83,154400.0,1535.0
New Hampshire,38.5, 4.07,74900.0,742.0
New Jersey,36.9, 1.76,393700.0,3872.0
New Mexico,34.1, 2.88,142100.0,1342.0
New York,30.9, 1.05,1016000.0,10220.0
North Carolina,32.0, 1.29,686200.0,6919.0
North Dakota,51.4, 6.45,31500.0,323.0
Ohio,33.1, 1.20,802400.0,7958.0
Oklahoma,38.5, 1.96,323800.0,3372.0
Oregon,33.4, 2.03,284900.0,2657.0
Pennsylvania,33.4, 1.19,830200.0,7957.0
Rhode Island,32.2, 3.88,76100.0,683.0
South Carolina,27.4, 1.71,359600.0,3628.0
South Dakota,43.1, 5.74,39100.0,370.0
Tennessee,28.5, 1.43,522700.0,5366.0
Texas,37.8, 0.89,1544100.0,15256.0
Utah,41.6, 3.20,124400.0,1274.0
Vermont,40.8, 4.56,44800.0,421.0
Virginia,34.7, 1.62,453000.0,4518.0
Washington,37.4, 1.71,421200.0,4108.0
West Virginia,26.5, 2.13,194800.0,1888.0
Wisconsin,39.8, 1.89,304100.0,3046.0
Wyoming,51.4, 5.10,37100.0,370.0
Puerto Rico,22.6, 1.45,375100.0,3778.0
