Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,77.8, 0.09,169826600.0,1622440.0
Alabama,75.6, 0.63,2444100.0,23938.0
Alaska,78.9, 1.27,397900.0,3508.0
Arizona,76.6, 0.52,3453000.0,32240.0
Arkansas,76.9, 0.80,1446500.0,14050.0
California,75.1, 0.22,21108700.0,193951.0
Colorado,80.9, 0.53,2922200.0,28036.0
Connecticut,80.4, 0.64,2004300.0,19375.0
Delaware,78.8, 1.35,483100.0,4426.0
District of Columbia,75.7, 1.61,371700.0,3439.0
Florida,76.5, 0.31,9896400.0,97216.0
Georgia,76.8, 0.42,5425700.0,51477.0
Hawaii,80.5, 1.05,752300.0,7404.0
Idaho,78.7, 1.03,823500.0,7938.0
Illinois,77.7, 0.35,7397400.0,69965.0
Indiana,78.4, 0.50,3486800.0,34892.0
Iowa,85.1, 0.54,1670400.0,16302.0
Kansas,83.4, 0.69,1540500.0,14832.0
Kentucky,75.4, 0.66,2246900.0,22276.0
Louisiana,75.4, 0.64,2358700.0,21571.0
Maine,79.6, 1.08,723900.0,6645.0
Maryland,81.6, 0.49,3272900.0,31903.0
Massachusetts,80.2, 0.47,3788500.0,36693.0
Michigan,74.7, 0.42,5523900.0,53302.0
Minnesota,83.1, 0.49,3044800.0,29413.0
Mississippi,74.8, 0.81,1500000.0,14404.0
Missouri,79.7, 0.51,3206500.0,31309.0
Montana,78.7, 1.29,530400.0,4769.0
Nebraska,85.3, 0.81,995600.0,9538.0
Nevada,78.1, 0.78,1479400.0,14395.0
New Hampshire,83.0, 0.98,769000.0,7446.0
New Jersey,79.1, 0.42,5023500.0,48356.0
New Mexico,75.6, 0.95,1063200.0,9566.0
New York,76.2, 0.29,11279300.0,103589.0
North Carolina,77.8, 0.42,5119800.0,49831.0
North Dakota,84.8, 1.34,377100.0,3592.0
Ohio,78.5, 0.38,6287100.0,62251.0
Oklahoma,78.6, 0.69,1872700.0,17827.0
Oregon,77.5, 0.66,2127000.0,20339.0
Pennsylvania,78.4, 0.36,6847700.0,67110.0
Rhode Island,78.6, 1.21,603100.0,5623.0
South Carolina,75.3, 0.63,2439600.0,23951.0
South Dakota,84.0, 1.27,438800.0,4164.0
Tennessee,77.2, 0.52,3372300.0,33113.0
Texas,77.6, 0.26,13336800.0,124095.0
Utah,78.9, 0.76,1507000.0,14239.0
Vermont,81.4, 1.28,353900.0,3331.0
Virginia,80.4, 0.43,4503400.0,44413.0
Washington,78.9, 0.48,3757800.0,36463.0
West Virginia,74.2, 0.96,934800.0,8912.0
Wisconsin,82.7, 0.48,3219300.0,32061.0
Wyoming,82.7, 1.36,297400.0,2961.0
Puerto Rico,55.9, 0.76,1946600.0,15155.0
