 , ,Total SCHL,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree,Less Than High School,High School,Some College,Bachelor Degree,"Master, PhD, or Professional Degree"
    Total OCCP, ,321418821,11674354,11016432,4936379,4308415,4274923,4599128,4803666,4605264,4890536,6874500,5144229,7342039,7954195,8516158,9553558,4663554,59830731,9588716,16751508,41064945,19425770,44213700,18053346,4345615,2987160,105157330,69419447,77242223,44213700,25386121
    N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked), ,131982067,11674354,9378960,4910759,4284021,4199894,4436406,4479754,4367632,4525883,5199219,4651316,5932477,5506950,4975782,4489582,1717985,18261939,2888049,3872492,8542391,3145539,6704729,2835304,558172,442478,84730974,21149988,15560422,6704729,3835954
    MGR-CHIEF EXECUTIVES AND LEGISLATORS, ,1392778,0,2680,119,97,144,0,221,0,504,1106,55,1302,1142,2791,5672,6355,114878,13703,53496,158344,71933,548341,304188,57067,48640,22188,128581,283773,548341,409895
    MGR-GENERAL AND OPERATIONS MANAGERS, ,1015250,0,2238,0,103,0,62,0,37,184,458,406,1661,3014,3808,8715,5793,156470,25234,71059,188086,96189,327666,108528,8038,7501,26479,181704,355334,327666,124067
    MGR-ADVERTISING AND PROMOTIONS MANAGERS, ,52236,0,0,0,0,0,0,0,0,0,0,0,0,102,12,279,3,2630,138,1821,4608,2712,31588,7040,1303,0,396,2768,9141,31588,8343
    MGR-MARKETING AND SALES MANAGERS, ,1060182,0,1280,0,0,0,0,0,67,0,749,94,162,1303,2225,3491,5117,72117,11041,37518,132969,72063,526195,176599,9706,7486,14488,83158,242550,526195,193791
    MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS, ,68850,0,0,0,0,0,0,0,0,75,0,0,127,0,0,0,70,1228,0,1291,5077,2415,41143,15157,1306,961,272,1228,8783,41143,17424
    MGR-ADMINISTRATIVE SERVICES MANAGERS, ,174644,0,272,0,0,0,0,0,0,0,0,0,80,0,553,1116,1196,27901,5063,14013,36635,18815,48245,17564,1924,1267,3217,32964,69463,48245,20755
    MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS, ,641839,0,888,0,0,27,0,0,114,0,459,0,516,172,256,884,492,24719,3501,24252,72910,51005,292879,151223,7454,10088,3808,28220,148167,292879,168765
    MGR-FINANCIAL MANAGERS, ,1330439,0,1656,0,0,0,0,0,134,120,958,147,523,2037,3636,3681,4484,127706,14766,67763,184605,104376,525923,253089,25913,8922,17376,142472,356744,525923,287924
    MGR-COMPENSATION AND BENEFITS MANAGERS, ,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1803,55,1109,3511,1665,8740,4839,206,0,72,1858,6285,8740,5045
    MGR-HUMAN RESOURCES MANAGERS, ,468482,0,2954,0,0,0,0,191,0,0,409,155,1333,1467,1241,1289,2151,50934,7343,26885,62172,38759,169465,88941,8604,4189,11190,58277,127816,169465,101734
    MGR-TRAINING AND DEVELOPMENT MANAGERS, ,78217,0,49,0,0,0,0,0,0,0,42,0,0,0,561,423,279,4765,2508,2550,11259,7948,26771,17536,885,2641,1354,7273,21757,26771,21062
    MGR-INDUSTRIAL PRODUCTION MANAGERS, ,276723,0,1446,0,0,0,37,250,67,0,328,35,2430,2214,2082,2233,1910,50634,8002,16779,44481,22789,83031,34606,1563,1806,13032,58636,84049,83031,37975
    MGR-PURCHASING MANAGERS, ,230361,0,294,0,0,0,43,0,0,0,131,0,161,167,709,251,412,24533,4034,14557,30514,16591,91051,41356,4764,793,2168,28567,61662,91051,46913
"    MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS", ,276245,0,1056,0,0,166,0,0,0,0,664,130,1255,1669,2659,3038,4529,75928,10145,25240,57906,19815,56526,14468,565,486,15166,86073,102961,56526,15519
"    MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS", ,735522,0,6719,0,33,19,455,1226,467,1748,4049,2858,24767,11378,10301,11895,9952,248733,18639,45424,105590,65047,135000,24044,4061,3117,85867,267372,216061,135000,31222
    MGR-CONSTRUCTION MANAGERS, ,692452,0,3353,0,0,0,551,545,195,111,4194,1689,5202,4996,6476,11687,9078,152522,23021,46081,132636,56729,190723,36831,5006,826,48077,175543,235446,190723,42663
    MGR-EDUCATION ADMINISTRATORS, ,1051924,0,1328,0,61,157,0,81,0,562,533,613,624,754,1889,1382,3289,50215,8388,24593,70961,50703,250003,441975,49208,94605,11273,58603,146257,250003,585788
    MGR-ARCHITECTURAL AND ENGINEERING MANAGERS, ,173307,0,625,0,0,110,0,0,0,0,0,0,67,25,358,113,314,6275,322,4144,8772,7473,79207,55596,3335,6571,1612,6597,20389,79207,65502
    MGR-FOOD SERVICE MANAGERS, ,1140512,0,8738,147,0,105,984,887,1690,907,7304,3344,9027,11381,17448,26957,19738,293916,46445,81977,250221,105576,211000,36280,3909,2531,108657,340361,437774,211000,42720
    MGR-GAMING MANAGERS, ,21642,0,0,0,0,0,0,0,0,0,0,0,130,103,72,81,592,4593,874,2630,4745,1802,4201,1582,0,237,978,5467,9177,4201,1819
    MGR-LODGING MANAGERS, ,170580,0,527,0,0,0,0,44,0,0,655,37,652,332,341,1409,1013,28052,5446,10253,37726,17411,53083,11686,1214,699,5010,33498,65390,53083,13599
    MGR-MEDICAL AND HEALTH SERVICES MANAGERS, ,746339,0,1404,54,113,0,0,79,0,162,118,412,75,464,2177,2565,3408,55141,7714,32718,90907,86677,232697,169197,35194,25063,11031,62855,210302,232697,229454
    MGR-NATURAL SCIENCES MANAGERS, ,23849,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,243,498,0,120,903,875,8473,7222,580,4887,291,498,1898,8473,12689
"    MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS", ,709163,0,3545,66,754,231,124,640,177,837,1380,677,2639,2716,4379,7313,5267,113224,19063,51967,140441,61538,210976,65026,11987,4196,30745,132287,253946,210976,81209
