" "," ","Total DEYE","Yes","No","Total WAGP","Average WAGP","Std Err WAGP","Weighted total WAGP"
" Total OCCP", ,321418821,7736228,313682593,321418821,22291.9,34.23,7165038508522
" N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)", ,131982067,4881401,127100666,131982067,-0.5,0.00,-60982320
" MGR-CHIEF EXECUTIVES AND LEGISLATORS", ,1392778,17904,1374874,1392778,137934.4,1955.66,192112038480
" MGR-GENERAL AND OPERATIONS MANAGERS", ,1015250,8671,1006579,1015250,76547.7,1253.45,77715005450
" MGR-ADVERTISING AND PROMOTIONS MANAGERS", ,52236,353,51883,52236,64778.2,4865.46,3383756348
" MGR-MARKETING AND SALES MANAGERS", ,1060182,8175,1052007,1060182,86943.2,1520.60,92175637540
" MGR-PUBLIC RELATIONS AND FUNDRAISING MANAGERS", ,68850,608,68242,68850,72521.9,3961.85,4993130400
" MGR-ADMINISTRATIVE SERVICES MANAGERS", ,174644,3029,171615,174644,59186.2,2254.21,10336512340
" MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS", ,641839,4214,637625,641839,99972.5,1769.80,64166261580
" MGR-FINANCIAL MANAGERS", ,1330439,13899,1316540,1330439,89112.2,1382.96,118558406680
" MGR-COMPENSATION AND BENEFITS MANAGERS", ,22000,64,21936,22000,73378.4,6805.98,1614324450
" MGR-HUMAN RESOURCES MANAGERS", ,468482,6242,462240,468482,70848.5,1628.64,33191269500
" MGR-TRAINING AND DEVELOPMENT MANAGERS", ,78217,2204,76013,78217,64949.6,5266.49,5080160090
" MGR-INDUSTRIAL PRODUCTION MANAGERS", ,276723,3612,273111,276723,73507.3,2123.90,20341173690
" MGR-PURCHASING MANAGERS", ,230361,3097,227264,230361,70377.7,2203.77,16212276580
" MGR-TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS", ,276245,3606,272639,276245,51876.2,1718.60,14330528350
" MGR-FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS", ,735522,11720,723802,735522,19357.6,610.80,14237945082
" MGR-CONSTRUCTION MANAGERS", ,692452,9309,683143,692452,59381.7,1297.54,41118986590
" MGR-EDUCATION ADMINISTRATORS", ,1051924,12382,1039542,1051924,59265.4,920.98,62342699320
" MGR-ARCHITECTURAL AND ENGINEERING MANAGERS", ,173307,1263,172044,173307,130742.3,4524.98,22658561400
" MGR-FOOD SERVICE MANAGERS", ,1140512,20439,1120073,1140512,34753.0,688.97,39636159160
" MGR-GAMING MANAGERS", ,21642,501,21141,21642,45986.2,5107.54,995233590
" MGR-LODGING MANAGERS", ,170580,1943,168637,170580,41336.3,1847.31,7051153708
" MGR-MEDICAL AND HEALTH SERVICES MANAGERS", ,746339,7967,738372,746339,73305.9,1533.65,54711051520
" MGR-NATURAL SCIENCES MANAGERS", ,23849,70,23779,23849,86778.4,8695.07,2069577000
" MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS", ,709163,10915,698248,709163,49079.0,1135.52,34805036920
" MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS", ,424980,5949,419031,424980,51221.4,1283.51,21768058070
" MGR-EMERGENCY MANAGEMENT DIRECTORS", ,11458,574,10884,11458,55224.3,7298.64,632759700
" MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS AND POSTMASTERS AND MAIL SUPERINTENDENTS", ,4952760,61389,4891371,4952760,75380.3,592.33,373340615802
" BUS-AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES", ,50221,470,49751,50221,53023.6,8617.57,2662897230
" BUS-BUYERS AND PURCHASING AGENTS, FARM PRODUCTS", ,13674,188,13486,13674,38954.5,6084.49,532663450
" BUS-WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS", ,252629,2854,249775,252629,32958.5,1229.60,8326272830
" BUS-PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS", ,322294,3679,318615,322294,50216.8,1390.27,16184557980
" BUS-CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, AND INVESTIGATORS", ,334300,5362,328938,334300,48778.7,1332.93,16306704100
" BUS-COMPLIANCE OFFICERS", ,257416,2571,254845,257416,65333.6,2080.79,16817912380
" BUS-COST ESTIMATORS", ,153009,1869,151140,153009,55117.9,2111.54,8433531350
" BUS-HUMAN RESOURCES WORKERS", ,878756,7763,870993,878756,55374.5,1065.78,48660659740
" BUS-COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALISTS", ,67248,693,66555,67248,48994.7,3026.28,3294792330
" BUS-TRAINING AND DEVELOPMENT SPECIALISTS", ,184004,3832,180172,184004,50473.0,1909.72,9287236730
" BUS-LOGISTICIANS", ,168057,2642,165415,168057,49037.3,1941.69,8241067690
" BUS-MANAGEMENT ANALYSTS", ,985115,9415,975700,985115,68271.6,1291.08,67255346150
" BUS-MEETING, CONVENTION, AND EVENT PLANNERS", ,165184,2288,162896,165184,33410.2,1632.94,5518823040
" BUS-FUNDRAISERS", ,117872,1163,116709,117872,46109.7,2273.49,5435045890
" BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS", ,339334,2856,336478,339334,65364.7,2106.46,22180474830
" BUS-BUSINESS OPERATIONS SPECIALISTS, ALL OTHER", ,341158,2898,338260,341158,62108.6,1990.11,21188849000
" FIN-ACCOUNTANTS AND AUDITORS", ,2236160,25488,2210672,2236160,59154.5,675.97,132278884020
" FIN-APPRAISERS AND ASSESSORS OF REAL ESTATE", ,107099,1402,105697,107099,38474.7,2148.77,4120604880
" FIN-BUDGET ANALYSTS", ,55548,423,55125,55548,70053.9,4359.09,3891356100
" FIN-CREDIT ANALYSTS", ,31286,285,31001,31286,63825.5,5628.71,1996844600
" FIN-FINANCIAL ANALYSTS", ,254720,1259,253461,254720,95274.7,3299.27,24268380140
" FIN-PERSONAL FINANCIAL ADVISORS", ,405533,3101,402432,405533,103827.3,3003.40,42105398540
" FIN-INSURANCE UNDERWRITERS", ,124707,1767,122940,124707,62275.8,2655.79,7766226700
" FIN-FINANCIAL EXAMINERS", ,14366,224,14142,14366,86885.0,11347.35,1248189200
" FIN-CREDIT COUNSELORS AND LOAN OFFICERS", ,346913,2227,344686,346913,64676.6,2088.99,22437166300
" FIN-TAX EXAMINERS AND COLLECTORS, AND REVENUE AGENTS", ,75501,1883,73618,75501,45747.2,2479.38,3453960690
" FIN-TAX PREPARERS", ,162469,3167,159302,162469,28256.1,1686.18,4590747880
" FIN-FINANCIAL SPECIALISTS, ALL OTHER", ,61689,856,60833,61689,79486.0,5624.23,4903408800
" CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS", ,22971,73,22898,22971,73330.2,7313.24,1684468400
" CMM-COMPUTER SYSTEMS ANALYSTS", ,552870,6080,546790,552870,71287.3,1472.22,39412615920
" CMM-INFORMATION SECURITY ANALYSTS", ,71627,794,70833,71627,84797.7,4506.59,6073805770
" CMM-COMPUTER PROGRAMMERS", ,508834,5399,503435,508834,70577.8,1490.67,35912404700
" CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE", ,1302041,7105,1294936,1302041,90582.4,1146.49,117941956210
" CMM-WEB DEVELOPERS", ,221806,1123,220683,221806,45119.8,1644.94,10007839290
" CMM-COMPUTER SUPPORT SPECIALISTS", ,736514,7442,729072,736514,52652.6,1038.15,38779407180
" CMM-DATABASE ADMINISTRATORS", ,129397,1960,127437,129397,70205.2,2774.39,9084345370
" CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS", ,232037,3232,228805,232037,63270.0,1817.26,14680987970
" CMM-COMPUTER NETWORK ARCHITECTS", ,116267,603,115664,116267,90643.2,3704.07,10538811400
" CMM-COMPUTER OCCUPATIONS, ALL OTHER", ,655014,8148,646866,655014,64037.4,1278.00,41945397980
" CMM-ACTUARIES", ,30414,0,30414,30414,114220.2,10085.72,3473892400
" CMM-OPERATIONS RESEARCH ANALYSTS", ,159200,1338,157862,159200,72482.1,2460.60,11539155460
" CMM-MISCELLANEOUS MATHEMATICAL SCIENCE OCCUPATIONS, INCLUDING MATHEMATICIANS AND STATISTICIANS", ,59105,20,59085,59105,80275.5,4983.90,4744685800
" ENG-ARCHITECTS, EXCEPT NAVAL", ,198661,1280,197381,198661,70724.6,2741.25,14050215250
