Location,Estimate (%),90% MOE,Base Population,Sample Size
United States,34.2, 0.28,20403900.0,207644.0
Alabama,26.9, 1.57,421900.0,4431.0
Alaska,49.2, 5.34,46000.0,429.0
Arizona,33.3, 1.73,388200.0,4085.0
Arkansas,27.8, 1.98,268600.0,2863.0
California,32.4, 0.76,1991800.0,20005.0
Colorado,42.1, 2.05,305900.0,3040.0
Connecticut,40.9, 2.63,183600.0,1922.0
Delaware,35.2, 4.40,61800.0,593.0
District of Columbia,31.4, 5.31,40200.0,419.0
Florida,30.3, 0.96,1199100.0,12127.0
Georgia,32.0, 1.30,675200.0,6830.0
Hawaii,41.4, 4.40,65700.0,659.0
Idaho,37.8, 3.42,105800.0,1137.0
Illinois,36.6, 1.30,723100.0,7481.0
Indiana,34.7, 1.55,492800.0,5134.0
Iowa,43.7, 2.23,190100.0,1881.0
Kansas,41.5, 2.68,178100.0,1891.0
Kentucky,27.4, 1.58,419700.0,4221.0
Louisiana,31.5, 1.75,368500.0,3725.0
Maine,32.5, 2.86,121500.0,1145.0
Maryland,41.0, 1.99,321900.0,3229.0
Massachusetts,34.3, 1.73,393400.0,3995.0
Michigan,30.3, 1.11,777400.0,8010.0
Minnesota,44.1, 1.79,297800.0,3111.0
Mississippi,26.5, 1.91,281500.0,2883.0
Missouri,32.4, 1.58,458600.0,4811.0
Montana,35.8, 3.50,72300.0,678.0
Nebraska,45.5, 3.17,95400.0,1033.0
Nevada,40.5, 2.54,195800.0,1842.0
New Hampshire,40.3, 3.84,85500.0,830.0
New Jersey,37.0, 1.67,439200.0,4446.0
New Mexico,35.5, 2.72,162300.0,1469.0
New York,32.0, 1.02,1094400.0,11785.0
North Carolina,30.9, 1.26,708200.0,7279.0
North Dakota,55.8, 5.18,35500.0,364.0
Ohio,33.8, 1.18,844400.0,8763.0
Oklahoma,36.5, 1.69,314800.0,3229.0
Oregon,35.0, 1.95,312600.0,2886.0
Pennsylvania,33.3, 1.17,851900.0,8487.0
Rhode Island,34.6, 4.22,66800.0,683.0
South Carolina,31.5, 1.77,363500.0,3770.0
South Dakota,49.5, 4.10,57500.0,541.0
Tennessee,30.1, 1.41,557200.0,5723.0
Texas,38.5, 0.88,1619200.0,16273.0
Utah,41.6, 2.94,147300.0,1495.0
Vermont,35.5, 4.11,44000.0,420.0
Virginia,36.9, 1.61,471200.0,4852.0
Washington,36.9, 1.60,476000.0,4786.0
West Virginia,25.3, 2.02,209100.0,2000.0
Wisconsin,41.8, 1.61,362600.0,3559.0
Wyoming,51.0, 4.97,39100.0,394.0
Puerto Rico,22.1, 1.42,386400.0,3470.0
